stem,n_gt_markers,raw_mean_L,raw_std_L,raw_pct_saturated,raw_pct_crushed,raw_marker_contrast,enh_mean_L,enh_std_L,enh_pct_saturated,enh_pct_crushed,enh_marker_contrast,delta_mean_L,delta_std_L,delta_pct_saturated,delta_pct_crushed,delta_marker_contrast
000000000731,1,120.0432,61.9758,0.4236,5.6706,0.6078,145.7774,53.6377,0.0000,2.1120,0.6392,25.7343,-8.3381,-0.4236,-3.5586,0.0314
000000054007,2,111.1599,37.8561,0.0087,5.8793,0.4718,121.4605,36.0142,0.0000,4.3381,0.5235,10.3005,-1.8419,-0.0087,-1.5412,0.0517
000000095880,1,132.2610,60.0945,1.0482,2.6146,0.6745,155.5574,49.5792,0.0000,2.1693,0.7176,23.2965,-10.5153,-1.0482,-0.4453,0.0431
000000107741,3,65.0141,66.5701,2.0443,17.0898,0.2510,114.8272,64.9932,0.0000,5.0608,0.5262,49.8130,-1.5768,-2.0443,-12.0291,0.2752
000000136941,4,117.0421,61.0006,0.1285,3.6988,0.5702,139.4243,48.4478,0.0000,2.9436,0.6265,22.3822,-12.5528,-0.1285,-0.7552,0.0563
000000142108,4,58.3916,75.7509,0.9592,43.4501,0.3009,84.0822,72.6474,0.0000,24.8798,0.6400,25.6906,-3.1034,-0.9592,-18.5703,0.3391
000000194704,2,126.1351,75.5341,2.4306,6.9232,0.7824,150.0236,64.1054,0.0000,5.1793,0.7353,23.8885,-11.4287,-2.4306,-1.7439,-0.0471
000000214247,3,109.9903,71.6891,0.0017,6.0399,0.5843,137.3904,52.5634,0.0000,4.7196,0.7020,27.4001,-19.1256,-0.0017,-1.3203,0.1176
000000225617,3,92.8115,83.0142,8.3186,6.7878,0.5895,131.7370,54.9929,0.0000,2.4822,0.6993,38.9255,-28.0213,-8.3186,-4.3056,0.1098
000000244361,1,76.8248,81.6192,0.0004,41.9536,0.0039,93.1964,76.7490,0.0000,17.0864,0.0510,16.3716,-4.8701,-0.0004,-24.8672,0.0471
000000264615,1,102.6963,62.3117,0.0082,6.0191,0.3059,123.8732,49.0566,0.0000,4.5252,0.6549,21.1770,-13.2551,-0.0082,-1.4939,0.3490
000000268059,5,93.2912,52.5826,1.7296,5.7062,0.4526,127.0439,51.5838,0.0000,4.6402,0.6373,33.7527,-0.9988,-1.7296,-1.0660,0.1848
000000357587,4,74.6013,58.4479,0.1558,12.1441,0.4343,116.3808,55.9502,0.0000,3.5217,0.6667,41.7794,-2.4977,-0.1558,-8.6224,0.2324
000000379980,3,87.8159,87.9329,0.0000,19.5230,0.5831,116.1198,62.2430,0.0000,7.2040,0.6348,28.3040,-25.6899,0.0000,-12.3190,0.0517
000000414112,3,107.6326,62.7313,0.0078,8.8984,0.4181,129.4953,51.2592,0.0000,6.2847,0.6466,21.8627,-11.4721,-0.0078,-2.6137,0.2284
000000440060,3,98.0921,76.6847,0.8216,4.5742,0.4047,129.2836,59.0696,0.0000,2.1753,0.7034,31.1914,-17.6151,-0.8216,-2.3989,0.2987
000000480433,6,117.7759,64.7529,0.0182,6.7613,0.5582,140.2840,50.1374,0.0000,5.6775,0.6753,22.5081,-14.6155,-0.0182,-1.0838,0.1171
000000518189,1,112.4434,52.3175,0.0217,3.1497,0.2838,135.6692,41.9256,0.0000,2.3763,0.6039,23.2258,-10.3919,-0.0217,-0.7734,0.3201
000000521427,5,91.4903,72.0178,1.1914,15.1055,0.2571,122.9693,62.8285,0.0000,4.0716,0.5576,31.4790,-9.1893,-1.1914,-11.0339,0.3005
000000546890,4,104.7556,59.6995,0.1246,5.0369,0.3137,136.5488,57.1591,0.0000,2.3772,0.6146,31.7933,-2.5405,-0.1246,-2.6597,0.3008
000000572362,6,44.4138,48.3229,0.0000,15.6892,0.2975,84.9540,46.0131,0.0000,5.2070,0.4682,40.5402,-2.3098,0.0000,-10.4822,0.1707
000000097200,9,108.0102,65.6943,0.5564,7.2261,0.4980,137.4250,60.5031,0.0000,5.3872,0.7017,29.4148,-5.1912,-0.5564,-1.8390,0.2037
000000136701,2,122.4338,92.7327,0.6311,26.1875,0.8196,138.6000,81.6357,0.0000,12.4288,0.8216,16.1662,-11.0970,-0.6311,-13.7587,0.0020
000000259366,3,97.7096,71.2338,0.0048,14.3238,0.3564,122.6050,60.6921,0.0000,6.7986,0.7372,24.8954,-10.5417,-0.0048,-7.5252,0.3808
000000122782,4,128.2895,82.2353,0.4353,8.6714,0.4786,139.5154,63.1648,0.0000,6.2604,0.7092,11.2259,-19.0705,-0.4353,-2.4110,0.2306
000000221856,2,151.1435,83.0513,0.0747,8.5226,0.7824,164.6184,67.8604,0.0000,5.4627,0.8059,13.4749,-15.1908,-0.0747,-3.0599,0.0235
000000292685,6,136.1203,68.7375,6.5972,6.5747,0.6559,157.0692,60.1086,0.0000,4.1992,0.7711,20.9489,-8.6289,-6.5972,-2.3754,0.1153
000000562875,2,103.0696,60.1964,0.0043,10.8793,0.6805,128.3979,56.3962,0.0000,4.5091,0.6255,25.3283,-3.8002,-0.0043,-6.3702,-0.0550
000000113513,3,80.3940,56.1411,0.0000,14.4236,0.4274,103.1040,48.0192,0.0000,7.8194,0.5437,22.7099,-8.1219,0.0000,-6.6042,0.1163
000000286124,5,130.6562,90.2352,0.4991,9.7118,0.5345,154.0338,69.7023,0.0000,5.8277,0.8147,23.3776,-20.5329,-0.4991,-3.8841,0.2802
000000359760,2,111.6449,45.0615,0.0512,5.5317,0.5373,136.3394,45.0582,0.0000,4.4709,0.6373,24.6945,-0.0033,-0.0512,-1.0608,0.1000
000000191874,6,95.7976,59.9197,0.3181,8.2027,0.3365,124.1393,55.1567,0.0000,6.4258,0.5933,28.3417,-4.7630,-0.3181,-1.7769,0.2568
000000031043,3,90.7886,68.1117,0.0868,14.3181,0.3993,118.6277,55.5712,0.0000,4.6936,0.5253,27.8391,-12.5405,-0.0868,-9.6246,0.1261
000000112703,6,88.0371,59.5871,0.0178,6.8915,0.3354,124.6969,55.9036,0.0000,4.7778,0.6306,36.6598,-3.6835,-0.0178,-2.1137,0.2953
000000057481,4,124.0169,67.5981,3.3212,6.4145,0.4747,148.5710,58.5545,0.0000,4.1198,0.7373,24.5541,-9.0436,-3.3212,-2.2947,0.2625
000000344325,3,139.0429,54.3481,0.3967,6.1979,0.7284,152.6444,48.3869,0.0000,4.6840,0.6980,13.6015,-5.9612,-0.3967,-1.5139,-0.0304
000000541280,2,91.8773,66.9717,0.9783,8.3615,0.5765,127.5832,59.5030,0.0000,4.7795,0.6725,35.7059,-7.4687,-0.9783,-3.5820,0.0961
000000088102,3,86.1241,78.1943,1.3967,21.2891,0.2910,114.3619,69.6416,0.0000,15.7626,0.6472,28.2378,-8.5527,-1.3967,-5.5265,0.3562
000000288776,4,121.6037,72.9529,0.0026,4.8789,0.4938,141.8782,50.2704,0.0000,3.3229,0.7133,20.2745,-22.6825,-0.0026,-1.5560,0.2195
000000242897,4,172.8918,75.7609,14.0117,5.1892,0.8363,181.8053,62.7028,0.0000,4.6285,0.8520,8.9135,-13.0582,-14.0117,-0.5608,0.0157
