stem,n_gt,a_n_det,a_recall,a_precision,a_mean_iou,a_tp,a_fp,a_fn,b_n_det,b_recall,b_precision,b_mean_iou,b_tp,b_fp,b_fn,h_n_det,h_recall,h_precision,h_mean_iou,h_tp,h_fp,h_fn,attr_a_only,attr_b_only,attr_both,attr_neither,divergence
000000000731,1,4,1.0000,0.2500,0.9412,1,3,0,1,1.0000,1.0000,0.8824,1,0,0,4,1.0000,0.2500,0.9412,1,3,0,0,0,1,0,0
000000054007,2,3,1.0000,0.6667,0.9576,2,1,0,2,1.0000,1.0000,0.9311,2,0,0,3,1.0000,0.6667,0.9576,2,1,0,0,0,2,0,0
000000095880,1,3,1.0000,0.3333,0.9701,1,2,0,1,1.0000,1.0000,0.9701,1,0,0,3,1.0000,0.3333,0.9701,1,2,0,0,0,1,0,0
000000107741,3,2,0.6667,1.0000,0.8805,2,0,1,3,1.0000,1.0000,0.9154,3,0,0,3,1.0000,1.0000,0.8647,3,0,0,0,1,2,0,1
000000136941,4,5,1.0000,0.8000,0.9091,4,1,0,4,1.0000,1.0000,0.9309,4,0,0,5,1.0000,0.8000,0.9091,4,1,0,0,0,4,0,0
000000142108,4,4,0.7500,0.7500,0.7778,3,1,1,4,1.0000,1.0000,0.8703,4,0,0,5,1.0000,0.8000,0.8041,4,1,0,0,1,3,0,1
000000194704,2,6,1.0000,0.3333,0.9531,2,4,0,2,1.0000,1.0000,0.9748,2,0,0,6,1.0000,0.3333,0.9531,2,4,0,0,0,2,0,0
000000214247,3,4,1.0000,0.7500,0.9238,3,1,0,3,1.0000,1.0000,0.9271,3,0,0,4,1.0000,0.7500,0.9238,3,1,0,0,0,3,0,0
000000225617,3,4,1.0000,0.7500,0.9234,3,1,0,3,1.0000,1.0000,0.9231,3,0,0,4,1.0000,0.7500,0.9234,3,1,0,0,0,3,0,0
000000244361,1,3,0.0000,0.0000,0.0000,0,3,1,2,1.0000,0.5000,0.8971,1,1,0,5,1.0000,0.2000,0.8971,1,4,0,0,1,0,0,1
