stem,marker_id,rot,raw_mean_err,raw_max_err,raw_tl_err_px,raw_phi,cls_mean_err,cls_max_err,cls_tl_err_px,cls_phi,cnn_mean_err,cnn_max_err,cnn_tl_err_px,cnn_phi,delta_mean_err,delta_phi
000000000731,206,2,17.2571,26.7501,23.8246,0.2682,16.8669,26.7501,18.1078,0.4676,9.4835,19.2395,17.3075,0.4994,-7.3834,0.0318
000000054007,241,0,46.9690,72.1875,25.5582,0.2200,47.8397,72.1875,29.2435,0.1377,27.1144,49.7649,3.7318,0.9682,-20.7252,0.8305
000000054007,45,1,22.2394,27.0616,25.4738,0.2222,22.2394,27.0616,25.4738,0.2222,14.2058,15.2474,13.6439,0.6495,-8.0335,0.4273
000000095880,203,1,75.3412,85.4148,85.4148,0.0000,74.6087,85.4148,85.4148,0.0000,53.4805,54.8793,54.8793,0.0009,-21.1282,0.0009
000000107741,177,2,21.1874,35.0483,34.2575,0.0658,20.1907,35.9247,34.2575,0.0658,15.0843,25.1485,24.3888,0.2518,-5.1064,0.1860
000000107741,210,1,27.6454,32.4003,31.4728,0.1006,26.9411,32.4003,31.4728,0.1006,18.3674,19.6404,17.1773,0.5046,-8.5737,0.4040
000000107741,86,2,121.6049,167.7817,160.8503,0.0000,119.6664,167.7817,160.8503,0.0000,59.9326,116.7247,114.3118,0.0000,-59.7338,0.0000
000000136941,51,2,36.7673,54.4188,54.4188,0.0010,36.7673,54.4188,54.4188,0.0010,19.0338,38.5973,38.5973,0.0316,-17.7335,0.0306
000000136941,15,3,17.4302,20.6103,13.3046,0.6634,17.7480,20.6103,13.3046,0.6634,12.7254,13.7696,11.7374,0.7266,-5.0226,0.0632
000000136941,87,0,40.3188,53.9891,29.8145,0.1274,41.4501,53.9891,34.3398,0.0650,24.5517,26.4187,25.6043,0.2188,-16.8985,0.1538
000000136941,232,0,36.4342,54.7313,21.2631,0.3506,37.1105,54.7313,21.2631,0.3506,20.0806,37.1818,2.1859,0.9890,-17.0299,0.6384
000000142108,49,1,90.9730,107.7989,107.7989,0.0000,91.2535,108.8954,108.8954,0.0000,59.8186,62.0086,60.0917,0.0002,-31.4349,0.0002
000000142108,72,1,31.6150,34.1694,27.3637,0.1763,31.6150,34.1694,27.3637,0.1763,23.1241,26.3490,20.6241,0.3730,-8.4909,0.1968
000000142108,209,0,13.4278,18.6584,9.7251,0.8031,12.9226,17.4500,9.7251,0.8031,7.5061,10.0709,6.1285,0.9166,-5.4165,0.1135
000000142108,39,3,19.8533,21.1734,19.2114,0.4250,20.9995,24.1247,24.1247,0.2594,15.9308,17.9371,17.9371,0.4743,-5.0686,0.2149
000000194704,170,0,160.0836,223.3278,90.3972,0.0000,160.0836,223.3278,90.3972,0.0000,82.4913,155.3070,6.8997,0.8955,-77.5922,0.8955
000000194704,76,2,56.7871,79.9830,79.9830,0.0000,56.7971,80.6751,80.6751,0.0000,28.4471,56.1618,56.1618,0.0007,-28.3501,0.0007
000000214247,81,2,35.8302,56.4033,56.4033,0.0006,35.0775,56.4033,56.4033,0.0006,22.2393,44.3281,44.3281,0.0105,-12.8381,0.0099
000000214247,96,2,27.1841,37.1710,35.8543,0.0508,26.8728,37.1710,34.6090,0.0622,13.2959,26.0171,25.5090,0.2212,-13.5769,0.1590
000000214247,132,1,30.9472,40.2049,39.1187,0.0288,30.8302,39.1187,39.1187,0.0288,18.9195,20.0479,18.6538,0.4463,-11.9107,0.4175
000000225617,210,0,68.1189,103.9579,29.8084,0.1275,68.1189,103.9579,29.8084,0.1275,38.9294,73.9067,7.6213,0.8740,-29.1896,0.7465
000000225617,161,1,34.6167,38.2064,38.2064,0.0339,34.6167,38.2064,38.2064,0.0339,24.5568,25.8608,24.3081,0.2542,-10.0599,0.2202
